Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1163017,-,-,-,43.45,-76.5,-5,89,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,Temperature,Pressure
2015,1,1,0,0,0,0,-3,1000.0
2015,1,1,0,30,0,0,-3,1000.0
2015,1,1,1,0,0,0,-3,1000.0
2015,1,1,1,30,0,0,-3,1000.0
2015,1,1,2,0,0,0,-4,1000.0
2015,1,1,2,30,0,0,-4,1000.0
2015,1,1,3,0,0,0,-4,1000.0
2015,1,1,3,30,0,0,-4,1000.0
2015,1,1,4,0,0,0,-4,1000.0
2015,1,1,4,30,0,0,-3,1000.0
2015,1,1,5,0,0,0,-3,1000.0
2015,1,1,5,30,0,0,-3,1000.0
2015,1,1,6,0,0,0,-3,1000.0
2015,1,1,6,30,0,0,-3,1000.0
2015,1,1,7,0,0,0,-3,1000.0
2015,1,1,7,30,0,0,-3,1000.0
2015,1,1,8,0,3,0,-3,1000.0
2015,1,1,8,30,12,0,-2,1000.0
2015,1,1,9,0,33,0,-2,1000.0
2015,1,1,9,30,78,0,-2,1000.0
2015,1,1,10,0,64,0,-2,1000.0
2015,1,1,10,30,137,57,-2,1000.0
2015,1,1,11,0,156,156,-2,1000.0
2015,1,1,11,30,167,111,-2,1000.0
2015,1,1,12,0,160,38,-2,990.0
2015,1,1,12,30,171,119,-1,990.0
2015,1,1,13,0,164,109,-1,990.0
2015,1,1,13,30,152,130,-1,990.0
2015,1,1,14,0,120,312,-1,990.0
2015,1,1,14,30,103,277,-1,990.0
2015,1,1,15,0,86,72,-1,990.0
2015,1,1,15,30,61,38,-1,990.0
2015,1,1,16,0,31,6,-1,990.0
2015,1,1,16,30,0,0,0,990.0
2015,1,1,17,0,0,0,0,990.0
2015,1,1,17,30,0,0,0,990.0
2015,1,1,18,0,0,0,0,990.0
2015,1,1,18,30,0,0,0,990.0
2015,1,1,19,0,0,0,0,990.0
2015,1,1,19,30,0,0,0,1000.0
2015,1,1,20,0,0,0,0,1000.0
2015,1,1,20,30,0,0,0,1000.0
2015,1,1,21,0,0,0,0,1000.0
2015,1,1,21,30,0,0,0,1000.0
2015,1,1,22,0,0,0,0,1000.0
2015,1,1,22,30,0,0,0,1000.0
2015,1,1,23,0,0,0,0,1000.0
2015,1,1,23,30,0,0,0,1000.0
2015,1,2,0,0,0,0,0,1000.0
2015,1,2,0,30,0,0,0,1000.0
2015,1,2,1,0,0,0,0,1000.0
2015,1,2,1,30,0,0,0,1000.0
2015,1,2,2,0,0,0,0,1000.0
2015,1,2,2,30,0,0,0,1000.0
2015,1,2,3,0,0,0,0,1000.0
2015,1,2,3,30,0,0,0,1000.0
2015,1,2,4,0,0,0,0,1000.0
2015,1,2,4,30,0,0,0,1000.0
2015,1,2,5,0,0,0,0,1000.0
2015,1,2,5,30,0,0,0,1000.0
